rank_gfa,address_fin,postal_code,postal_office_fin,main_purpose_fi,gross_floor_area,volume,number_of_storeys,apartment_count,heating_method_fi,heating_energy_source_fi,facade_material_fi,load_bearing_material_fi,construction_method_fi,completion_date,usage_status_fi,permanent_building_identifier,property_identifier,lon,lat,building_key
2162,Pohjoiskaari 11 | Lauttasaarentie 1,00200,HELSINKI,Kerrostalo,5050,21470,6,57,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Elementti,2015-12-18,Käytetään vakinaiseen asumiseen,102821527E,09103100110001,24.89260334,60.16178384,aa19ae3e-65a5-45dc-a247-785da9b06804
2163,Ounasvaarantie 5 | Korvatunturinpolku 4 | Luostonkuja 1,00970,HELSINKI,Kerrostalo,5050,16760,5,70,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,1981-11-20,Käytetään vakinaiseen asumiseen,101796864T,09104702280004,25.11374927,60.23879183,b201f3f0-5704-418c-8783-9bb09ab04661
2164,Aleksanterinkatu 42,00100,HELSINKI,Julkinen rakennus,5049,37650,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Paikalla tehty,1886-12-31,Tyhjillään,103036791E,09100200340022,24.94658548,60.16863152,dcc9c3a5-2113-4041-a0e2-133372175685
2165,Ruusankatu 1 | Mannerheimintie 92,00250,HELSINKI,Kerrostalo,5048,18759,6,69,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Tiili,,1930-01-01,Käytetään vakinaiseen asumiseen,103229026K,09101405050042,24.91893631,60.18710726,91ad4d19-c014-4407-91dc-abba522a3a28
2166,Kutomotie 8-12,00380,HELSINKI,"Toimisto-, tuotanto-, yhdyskuntatekniikan tai muut rakennukset",5047,17300,,0,Ei kiinteää lämmityslaitetta,,Tiili,Betoni,Elementti,2012-04-26,Tyhjillään,103014128C,09104600020020,24.87105007,60.21438893,3ed9ae1e-4490-4f7e-b5ad-1087b14240e0
2167,Minervankatu 3 | Apollonkatu 12,00100,HELSINKI,Julkinen rakennus,5046,20454,5,15,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Tiili,Paikalla tehty,1928-01-01,Käytetään vakinaiseen asumiseen,103199878A,09101304360012,24.92541402,60.17591844,391507cd-e472-4381-b9de-72cfe0195dc4
2168,Dagmarinkatu 3,00100,HELSINKI,Julkinen rakennus,5045,20647,5,0,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1958-12-31,Tyhjillään,103199755B,09101304160003,24.92968622,60.17392838,d4888aff-efd0-443d-9909-3f5619a8a3b3
2169,Alppikatu 5 | Kolmas linja 36,00530,HELSINKI,Kerrostalo,5044,16988,8,124,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1961-01-01,Käytetään vakinaiseen asumiseen,103161195F,09101103100036,24.94182799,60.18503059,409e2ec8-915b-4ce1-8769-83bed932d7f0
2170,Juutinraumankatu 3 | Hietasaarenkuja 4,00220,HELSINKI,Kerrostalo,5044,19990,7,62,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2013-09-20,Käytetään vakinaiseen asumiseen,1015890227,09102008020002,24.91991584,60.15936821,6bd4c2a3-3d36-4f52-8abb-814f4e8f0b2a
2171,Karstulantie 4,00550,HELSINKI,Kerrostalo,5040,17380,13,70,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2022-10-25,Käytetään vakinaiseen asumiseen,1038991372,09102205850022,24.95372532,60.1978703,0e71d7e0-cd85-47b3-a404-582b59b65251
2172,Radiokatu 24 | Kuuluttajankatu 2,00240,HELSINKI,Kerrostalo,5039,23130,6,71,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2013-11-20,Käytetään vakinaiseen asumiseen,103374859V,09101700510015,24.91813985,60.20480724,c457bd2c-d953-4c68-86b8-e316025e6b03
2173,Vänrikki Stoolin katu 5 | Apollonkatu 6,00100,HELSINKI,Kerrostalo,5037,18626,6,30,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,,1926-01-01,Käytetään vakinaiseen asumiseen,1031998691,09101304350006,24.92809842,60.17595146,6c08c45d-9a68-46bb-92cf-1526d66dd88d
2174,Teollisuuskatu 28,00520,HELSINKI,Kerrostalo,5036,21198,10,88,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2019-10-18,Käytetään vakinaiseen asumiseen,1036472965,09102204010006,24.94222314,60.19571625,228cc36d-4475-4c57-95a7-cf6dcea1cb74
2175,Fredrikinkatu 77 | Dagmarinkatu 16,00100,HELSINKI,Kerrostalo,5034,19873,6,50,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Tiili,Paikalla tehty,1923-01-01,Käytetään vakinaiseen asumiseen,103190243H,09101304090077,24.92698288,60.17191008,7ac59fa9-70a0-4c28-adac-8c24a837ef5c
2176,Huopalahdentie 6 | Perustie 10 | Huopalahdentie 4,00330,HELSINKI,Kerrostalo,5034,17588,6,40,Vesikeskuslämmitys,Kauko- tai aluelämpö,,Betoni,,1957-12-31,Käytetään vakinaiseen asumiseen,103457086B,09103000500002,24.88382423,60.19768012,de2b85a3-43fa-4f5f-8708-7589cdc76a7f
2177,Viides linja 14,00530,HELSINKI,Kerrostalo,5033,18965,7,73,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Betoni,Paikalla tehty,1927-01-01,Käytetään vakinaiseen asumiseen,103161256E,09101103190014,24.95172794,60.18360314,c892642f-9e5c-4d7c-8152-a9782ad76026
2178,Kauppiaankatu 8-10,00160,HELSINKI,Kerrostalo,5031,22578,4,40,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Tiili,Paikalla tehty,1910-12-31,Käytetään vakinaiseen asumiseen,103132613F,09100801610001,24.96729588,60.166903,78767dff-2a95-4b86-9486-51a216273da2
2179,Malagankatu 7,00220,HELSINKI,Kerrostalo,5030,21269,6,80,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Betoni,Elementti,2016-06-23,Käytetään vakinaiseen asumiseen,103509643R,09102008180004,24.91430897,60.15684591,a894084b-b309-467b-ae65-9b1e37b469cd
2180,Lönnrotinkatu 15 | Fredrikinkatu 43,00120,HELSINKI,Kerrostalo,5030,21911,4,41,Vesikeskuslämmitys,Kauko- tai aluelämpö,Muu,Tiili,Paikalla tehty,1907-12-31,Käytetään vakinaiseen asumiseen,1030560678,09100400700010,24.93574507,60.16557985,e8abd051-7f67-4c2c-9216-3d4ce72dd88b
2181,Museokatu 30-32,00100,HELSINKI,Kerrostalo,5029,18603,7,31,Vesikeskuslämmitys,Kauko- tai aluelämpö,Tiili,Tiili,Paikalla tehty,1925-01-01,Käytetään vakinaiseen asumiseen,1031998071,09101304240004,24.92497309,60.17490556,77d49968-0603-4b6a-8bc8-f88a3cb0979a
